path,bytes,sha256,model_used,label,score
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/asm/code.asm,179,2ddc5c1ec272d6380b5aa7111f8e13e8f88513dcbe1979638ceb6b09755960b5,true,asm,0.999882698059082
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/batch/simple.bat,33,b3803e090bf35f5591f7a350420473d74707ac24772cedead03d0a5bb57e97bc,true,batch,0.9989191293716431
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/c/code.c,260,486e2f90e2db098dd7bd5fcc2fb0e2d96e13d889ba621d133b0a69014656b7c0,true,c,0.9568284749984741
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/css/code.css,706,0e0313b85bbb4bc2fd085bbbcc22d1c13c1cc29be03459a70a356a70273a141b,true,css,0.9774461388587952
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/csv/magika_test.csv,105,7bd20d09808026099ba1cc70d11df2358746039a5f9a85c5293359b01160e85b,true,csv,0.9998168349266052
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/dockerfile/Dockerfile,261,d36a2cce8ae9a296f3e7df6a365a028f8300049d67c6db90f553a27b7d3a8ee8,true,dockerfile,0.9984806180000305
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/docx/doc.docx,292305,f632b0db14e4377bb11937a3a714206cded664e2a7e21b765973ff4725e3dc27,true,docx,0.9994365572929382
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/docx/magika_test.docx,291046,8583aed714bff082dcb022de510cc609f700d261953ec76e751ced80b55c2ed0,true,docx,0.9996181726455688
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/empty/empty_file,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,empty,1.0
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/epub/doc.epub,2277,0a8ffd1ae20ce07019a4f8842080875278db49dfa50b1b035b48c7ac37aecb56,true,epub,0.9994507431983948
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/epub/magika_test.epub,2297,13529032f0b148bb238f906389ff9058dc626e79bb54e3cb009a708ea5b270cd,true,epub,0.9975726008415222
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/flac/test.flac,385,7d96382e145b7feb7a4a5b6ef9a4dc4f8782b4b38841d37020999a492d8b678b,true,flac,0.9396368265151978
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/handlebars/example.handlebars,140,affb3c93d8ac659a1c02bf972b386fc2aa19ac7aef3ccb3035b19dab725b37e6,true,handlebars,0.9999862909317017
/home/ubuntu/IdeaProjects/magika/src/test/resources/reference/tests_data/basic/html/doc.html,178,2e04a18ff185ba5b16f762a0538339bc4049aceaef9738edd43af77d2ceb788b,true,html,0.9948737025260925
